DATA,VERSIONS,NODE,SOFTWARE VERSION,WORKFLOW VERSION,STATUS
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200114-081235-9acbc9fa4fea8a0a9fc5695899a45cae0b4f9356/20200114-081235-9acbc9fa4fea8a0a9fc5695899a45cae0b4f9356.tar.gz,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200114-081235-9acbc9fa4fea8a0a9fc5695899a45cae0b4f9356/20200114-081235-9acbc9fa4fea8a0a9fc5695899a45cae0b4f9356.tar.gz,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200113-133940-b2911d8861e7f7e5871a69e9b3856f5dd8111c3d/20200113-133940-b2911d8861e7f7e5871a69e9b3856f5dd8111c3d.tar,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A47/4_CXP9025660_9-R19A47.ova,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200114-101329-1600c56c4bd132b1ed5e8ce924aeefdde0cd6377/20200114-101329-1600c56c4bd132b1ed5e8ce924aeefdde0cd6377.tar,,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A47/4_CXP9025660_9-R19A47.ova,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A47/4_CXP9025660_9-R19A47.ova,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200114-135121-7668ce121c3cfff3359547c218ea6ff2f7c0f16b/20200114-135121-7668ce121c3cfff3359547c218ea6ff2f7c0f16b.tar.gz,,Failed
14-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200114-131550-938b8010038eb192ecdddaa5a54ae310ab6021ae/20200114-131550-938b8010038eb192ecdddaa5a54ae310ab6021ae.tar,,Failed
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200115-004609-3688ce7606733de6cba63c68c86b07e66ecab247/20200115-004609-3688ce7606733de6cba63c68c86b07e66ecab247.tar.gz,,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",SBG,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/sbc-sbg/202001/20200114-131550-938b8010038eb192ecdddaa5a54ae310ab6021ae/20200114-131550-938b8010038eb192ecdddaa5a54ae310ab6021ae.tar,,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mmgw-external-local/ericsson/vbgf/202001/20200115-114956-e13495575d5dcdb4ce16d26834b90f766da91cf3/20200115-114956-e13495575d5dcdb4ce16d26834b90f766da91cf3.tar.gz,,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R17E13/4_CXP9025660_9-R17E13.ova,,Failed
15-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",MTAS,https://arm.rnd.ki.sw.ericsson.se/artifactory/api/download/proj-mtas-release-local/CXP9025660_9/CANDIDATE/R19A47/4_CXP9025660_9-R19A47.ova,,Failed
16-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
16-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
16-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
16-Jan-2020,"[""ECM: R20.0.0.0.2002.1439"", ""LCM: 5.16.5"", ""SO: 1.2.2304""]",BGF,"${trigger[""properties""][""bgf_url""]}",,Success
